# start pid=21614 os=Version 26.5.2 (Build 25F84)
# maximum-reserved-locales=5
# initial-reserved-locales=
# initial-installed-locales=de_DE,en_US
# initial-sample 2026-08-04T20:25:28.782Z;supported;supported;supported;installedDe=1;reservedDe=0;reservedCount=0;catalogMtime=1785870076;assetDirMtime=1785870226
# event reserve ok already-reserved=true
# post-reserve-reserved-locales=de_DE
2026-08-04T20:29:03.005Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:08.298Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:13.610Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:18.926Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:24.257Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:29.576Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:34.806Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:40.005Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:45.343Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:50.488Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:55.670Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:01.007Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:06.346Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:11.490Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:16.575Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:21.613Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:26.950Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:32.244Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:37.452Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:42.611Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:47.947Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:53.006Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:58.308Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:03.513Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:08.569Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:13.610Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:18.944Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:24.008Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:29.016Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:34.287Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:39.492Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:44.610Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:49.945Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:31:55.006Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:00.347Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:05.611Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:10.884Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:16.138Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:21.476Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:26.691Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:32.018Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:32:37.273Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:32:42.546Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:32:47.876Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:32:53.044Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:32:58.194Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:03.468Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:08.521Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:13.593Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:18.854Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:24.011Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:29.290Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:34.513Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:39.750Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:45.007Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:50.346Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:33:55.613Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:00.939Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:06.271Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:11.510Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:16.613Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:21.952Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:27.005Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:32.013Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:37.124Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:42.134Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:47.473Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:52.611Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:34:57.942Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:03.061Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:08.378Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:13.535Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:18.607Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:23.615Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:28.678Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:34.012Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:39.358Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:44.689Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:50.005Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:35:55.273Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:00.564Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:05.808Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
